Perioden,ID,Geslacht,Leeftijd,Onderwijssoort,Migratieachtergrond,RegioS,LeerlingenStudenten_1
10/11,63908548,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025297A025297A025294A025297A025297A025297A025297A025297A025297A025294A025297A025294A025294A025294A025297A025294A025294A025294A025294A025294A025294,H00867320126572012605T0010401012600H007119H008766T0010402012655H0087512012659A008187H0086732012657A0081872012659H008766201265520126051012600H007119H008751,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1578569
11/12,63908570,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025297A025294A025297A025294A025297A025294A025294A025297A025294A025297A025294A025297A025294A025297A025294A025297A025294A025297A025297A025294,2012605H0087511012600H0086732012655T0010402012657H0071192012657H0087662012655H0086732012605H0087511012600H007119H00876620126592012659A008187T001040A008187,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1609102
12/13,63908592,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025294A025297A025297A025297A025294A025294A025294A025294A025297A025297A025294A025294A025297A025294A025297A025294A025297A025294A025297A025297A025294A025297,H008751T001040H008673H00875120126052012657H008673A008187201265520126572012655H008766201265910126002012605H007119H008766T001040A00818710126002012659H007119,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1605276
13/14,63908614,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025294A025294A025297A025297A025294A025297A025294A025294A025297A025294A025297A025297A025297A025294A025297A025297A025294A025297A025294A025294,H008751H007119201265720126052012657H008766A00818720126552012655H008766H008673H008673H007119201265920126052012659A008187T001040T00104010126001012600H008751,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1674658
14/15,63908636,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025294A025297A025294A025297A025297A025294A025294A025297A025297A025294A025297A025294A025294A025294A025294A025294A025297A025297A025297A025297A025294A025297,101260020126552012605201260520126592012659H008766H008673H0071192012657H008766A0081872012655H008673H008751H0071192012657A008187H0087511012600T001040T001040,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1706291
15/16,63908658,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025297A025294A025294A025297A025294A025294A025297A025294A025297A025294A025297A025294A025294A025297A025297A025294A025297A025294A025297A025297A025294,2012657201265920126552012657H008766A008187H008766A008187T001040H00711920126052012655H0086732012659H0087512012605H008751H008673H007119T00104010126001012600,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1715741
16/17,63908680,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025297A025297A025297A025294A025297A025294A025294A025294A025294A025294A025294A025297A025297A025297A025297A025294A025297A025297A025294A025294,H0071192012655H008751H00876620126592012605H00867310126002012659T001040H008673A008187H0071192012657T00104010126002012655H0087662012605A008187H0087512012657,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1748109
17/18,63908702,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025294A025294A025294A025297A025294A025297A025297A025294A025294A025297A025297A025294A025294A025294A025297A025294A025297A025297A025297A025297A025294,10126002012659H008673H008766201265520126052012659H008751H008751H0071192012605H0086731012600T0010402012657A008187A008187T0010402012657H007119H0087662012655,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1800650
18/19,63908724,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025297A025297A025294A025297A025297A025294A025297A025294A025294A025294A025294A025294A025294A025297A025297A025294A025297A025294A025294A025297A025297,H0087661012600T0010402012657H0087512012659H0087512012605H008673H0071192012659A00818720126552012605A0081872012657T001040H0086731012600H008766H0071192012655,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1853227
19/20,63908746,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025297A025297A025294A025294A025294A025297A025294A025297A025297A025294A025297A025294A025294A025294A025297A025294A025294A025297A025297A025294A025297A025297,H0071191012600H008751H007119A008187A0081872012657H00876620126572012655201265920126591012600H008766H0086732012605H0086732012605H008751T0010402012655T001040,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,1912427
20/21,63908768,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025294A025297A025294A025294A025294A025294A025294A025294A025294A025294A025297A025294A025294A025297A025297A025297A025297A025297A025297A025297A025297A025297,T001040H0087511012600201260520126552012657H008766H008673H008751H007119H007119A0081872012659T0010401012600201260520126552012657H008766H008673A0081872012659,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,2048088
21/22,63908790,T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038T001038,220000,A025294A025297A025294A025294A025294A025294A025294A025294A025294A025294A025297A025294A025297A025297A025297A025297A025297A025297A025297A025297A025294A025297,2012659H007119T0010401012600201260520126552012657H008766H008673H008751A008187H007119T0010401012600201260520126552012657H008766H008673H008751A0081872012659,NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  NL01  ,2100410
