"ID";"Onderwijssectoren";"Perioden";"TotaalUitgavenAanOnderwijs_1";"TotaalOverheid_2";"TotaalAanOnderwijsinstellingen_3";"LumpsumFinanciering_4";"Contractonderzoek_5";"Apparaatskosten_6";"TotaalSubsidieEnFiscaleRegelingen_7";"EducatiefDeelDagbestPeuterspeelz_8";"Leerlingenvervoer_9";"OnderwijsvoorzieningenJonggehandicapten_10";"TegemoetkomingSchoolkosten_11";"BegeleidingskostenLeerBedrijven_12";"StudiefinancieringGiften_13";"StudiefinancieringLeningen_14";"TotaalOntvangsten_15";"EUSubsidieregelingen_16";"TerugontvangenStudiefinancieringEn_17";"RenteOpStudieleningen_18";"AflossingenOpStudieleningen_19";"TotaalHuishoudens_20";"TotaalAanOnderwijsinstellingen_21";"LesEnCollegegeldBekostigdOnderwijs_22";"LesEnCollegegeldParticulOnderwijs_23";"OuderbijdragenEnSchoolactiviteiten_24";"TotaalOverigeUitgaven_25";"EducatiefDeelDagbestPeuterspeelz_26";"BoekenLeermiddelenOVEnBijles_27";"TeveelOntvangenStudiefinancieringEn_28";"RenteOpStudieleningen_29";"AflossingenOpStudieleningen_30";"TotaalOntvangenBijdragen_31";"KinderopvangtoeslagEducatiefDeel_32";"OnderwijsvoorzieningenJonggehandicapten_33";"TegemoetkomingSchoolkosten_34";"StudiebeurzenVanBedrijven_35";"StudiefinancieringVoorLesEnColl_36";"StudiefinancieringVoorLevensonderhoud_37";"StudiefinancieringLeningen_38";"TotaalBedrijven_39";"TotaalAanOnderwijsinstellingen_40";"BegeleidingDualeLeerlingenStagiairs_41";"LesEnCollegegeldParticulOnderwijs_42";"Contractonderzoek_43";"TotaalOverigeUitgaven_44";"KinderopvangtoeslagEducatiefDeel_45";"Studiebeurzen_46";"TotaalOntvangenSubsidies_47";"Leerlingenvervoer_48";"BegeleidingskostenLeerBedrijven_49";"TotaalBuitenland_50";"TotaalAanOnderwijsinstellingen_51";"InternationaleMiddelen_52";"Contractonderzoek_53";"EUSubsidieregelingen_54";"TotaalUitgavenAanOnderwijs_55";"InBbp_56";"PerHoofdVanDeBevolking_57";"TotaalOverheidsuitgavenAanOnderwijs_58";"InBbp_59";"InVanDeTotaleOverheidsuitgaven_60";"TotaalAanOnderwijsinstellingen_61";"TotaalInBbp_62";"Overheid_63";"HuishoudensBedrijvenBuitenland_64";"PerDeelnemerInclusiefRD_65";"PerDeelnemerExclusiefRD_66"
"229";"A048426";"2016JJ00";"5963";"4407";"3021";"2920";"27";"74";"1486";;;"2";;"29";"1455";"1235";"100";"0";"42";"58";"282";"798";"1087";"860";"227";;"437";;"337";"42";"58";"283";"726";;"2";;"0";"724";"730";"1235";"751";"780";"561";"166";"53";;;"0";"29";;"29";"8";"8";"0";"8";"0";"5963";"0.8";"351";"5741";"0.8";"1.9";"4895";"0.7";"0.4";"0.3";"10730";"10247"
"230";"A048426";"2017JJ00";"6334";"4064";"3111";"3013";"29";"69";"1041";;;"2";;"30";"1008";"1194";"88";"0";"44";"44";"280";"1460";"1112";"887";"225";;"457";;"369";"44";"44";"284";"109";;"2";;"0";"107";"901";"1194";"803";"833";"611";"165";"57";;;"0";"30";;"30";"8";"8";"0";"8";"0";"6334";"0.8";"371";"5346";"0.7";"1.7";"5064";"0.7";"0.4";"0.3";"10986";"10494"
"231";"A048426";"2018JJ00";"6522";"4965";"3360";"3258";"34";"68";"1668";;;"3";;"30";"1635";"1175";"63";"0";"23";"39";"309";"714";"1066";"878";"188";;"461";;"398";"23";"39";"309";"813";;"3";;"0";"811";"824";"1175";"834";"864";"656";"138";"71";;;"0";"30";;"30";"10";"10";"0";"10";"0";"6522";"0.8";"380";"6204";"0.8";"1.9";"5300";"0.7";"0.4";"0.3";"11536";"10965"
"232";"A048426";"2019JJ00";"6490";"4529";"3505";"3390";"38";"77";"1069";;;"3";;"31";"1036";"1154";"45";"0";"16";"29";"375";"1059";"1041";"848";"193";;"481";;"436";"16";"29";"375";"463";;"3";;"0";"460";"575";"1154";"891";"922";"701";"141";"80";;;"0";"31";;"31";"11";"11";"0";"11";"0";"6490";"0.8";"376";"5729";"0.7";"1.7";"5479";"0.7";"0.4";"0.2";"11812";"11199"
"233";"A048426";"2020JJ00";"6734";"4625";"3615";"3497";"38";"80";"1045";;;"3";;"32";"1010";"1227";"35";"0";"12";"23";"409";"1193";"1078";"880";"198";;"518";;"482";"12";"23";"409";"403";;"3";;"0";"400";"610";"1227";"905";"937";"712";"145";"80";;;"0";"32";;"32";"11";"11";"0";"11";"0";"6734";"0.8";"387";"5887";"0.7";"1.5";"5641";"0.7";"0.5";"0.3";"11801";"11219"
"234";"A048427";"1995JJ00";;;;;;;;;;;;"0";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;"0";;;;;;;;;;;;
"235";"A048427";"1996JJ00";;;;;;;;;;;;;;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;"0";;;;;;;;;;;;
"236";"A048427";"1997JJ00";"3448";"2842";"2616";"2374";"219";"23";"346";;;;;"0";"346";"144";"120";"0";"60";"60";"51";"283";"270";"182";"89";;"196";;"76";"60";"60";"51";"183";;;;"4";"179";"167";"144";"262";"258";"0";"58";"200";"4";;"4";"0";;"0";"61";"61";"0";"61";"0";"3448";"0.9";"221";"3106";"0.8";"1.9";"3205";"0.9";"0.7";"0.2";"17672";"7083"
"237";"A048427";"1998JJ00";"3501";"2728";"2693";"2449";"220";"24";"137";;;;;"0";"137";"230";"102";"0";"54";"48";"59";"391";"291";"195";"97";;"180";;"78";"54";"48";"59";"81";;;;"5";"76";"61";"230";"317";"312";"0";"63";"248";"5";;"5";"0";;"0";"66";"66";"0";"66";"0";"3501";"0.9";"224";"3060";"0.8";"1.8";"3362";"0.9";"0.7";"0.2";"18749";"7458"
"238";"A048427";"1999JJ00";"3689";"2899";"2804";"2568";"208";"27";"188";;;;;"0";"188";"226";"92";"0";"50";"42";"55";"374";"307";"205";"101";;"174";;"82";"50";"42";"55";"106";;;;"6";"100";"88";"226";"348";"342";"0";"67";"275";"6";;"6";"0";;"0";"68";"68";"0";"68";"0";"3689";"0.9";"234";"3217";"0.8";"1.8";"3519";"0.8";"0.7";"0.2";"19541";"8368"
